Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Image.stopped,Sound.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,54,0,6,h,1,2.4914878,None,6,0,54,1,187.3146767,,,,,,,,187.30267,187.3146767,187.6346783,187.6346783,187.6338729,187.8180522,189.6348736,189.6348736,190.1342433,h,1,2.4914878,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,57,3,6,s,1,2.3916936,None,6,3,57,2,195.7571483,,,,,,,,195.7545658,195.7571483,196.23342,196.23342,196.2331145,196.2666183,198.2335232,198.2335232,198.6336831,s,1,2.3916936,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,61,7,6,a,1,2.558413,None,6,7,61,0,207.7882381,,,,,,,,207.7758531,207.7882381,208.1160605,208.1160605,208.1158524,208.2993155,210.1158237,210.1158237,210.6831747,a,1,2.558413,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,63,0,7,a,1,2.293623,None,7,0,63,0,213.7893752,,,,,,,,213.7866713,213.7893752,214.1324479,214.1324479,214.1322092,214.2989813,216.1357784,216.1357784,216.4325021,a,1,2.293623,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,69,6,7,s,0,1.7830925,None,7,6,69,1,230.9088645,,,,,,,,230.8994621,230.9088645,231.13194,231.13194,231.1313806,231.4154475,,,232.9158826,s,0,1.7830925,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,70,7,7,s,1,3.3475646,None,7,7,70,2,232.962727,,,,,,,,232.9491649,232.962727,233.4311641,233.4311641,233.4308451,233.4643926,235.4307927,235.4307927,236.7817215,s,1,3.3475646,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,75,3,8,h,1,2.4030913,None,8,3,75,1,255.1413274,,,,,,,,255.1321008,255.1413274,255.4808056,255.4808056,255.4801003,255.6473365,257.4796974,257.4796974,257.8969131,h,1,2.4030913,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,78,6,8,s,1,2.3316661,None,8,6,78,2,264.7565928,,,,,,,,264.7454523,264.7565928,265.2290649,265.2290649,265.2290568,265.2627306,267.2287729,267.2287729,267.5624957,s,1,2.3316661,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,80,8,8,a,1,2.2614747,None,8,8,80,0,271.1354002,,,,,,,,271.1326583,271.1354002,271.4624017,271.4624017,271.4620935,271.6457781,273.4618457,273.4618457,273.729422,a,1,2.2614747,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,82,1,9,h,1,2.8121169,None,9,1,82,1,276.9967319,,,,,,,,276.9883101,276.9967319,277.3293351,277.3293351,277.3286317,277.4959411,279.3284124,279.3284124,280.1453954,h,1,2.8121169,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
