stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
83,0.5,8.0,93.96763160001137,,93.9521747000108,93.96763160001137,94.46715350000886,94.46715350000886,94.46715350000886,94.76794719998725,94.95178010000382,left,-8.0,0,0,0.47441719999187626,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
84,0.5,8.5,94.96798300000955,,94.9520160999964,94.96798300000955,95.45137130000512,95.45137130000512,95.45137130000512,95.75116149999667,95.95233780000126,left,-8.5,1,1,0.4906648999894969,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
85,0.5,8.5,95.96810860000551,,95.95257980001043,95.96810860000551,96.46799750000355,96.46799750000355,96.46799750000355,96.7677519999852,96.78494760001195,right,8.5,1,1,0.3146666999964509,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
86,0.5,8.5,96.80104779999238,,96.78506009999546,96.80104779999238,97.28454500000225,97.28454500000225,97.28454500000225,97.5844259999867,97.88512069999706,right,8.5,1,1,0.5945652999798767,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
87,0.5,8.0,97.90124720000313,,97.88537480001105,97.90124720000313,98.38489970000228,98.38489970000228,98.38489970000228,98.6842672000057,98.85168829999748,right,8.0,1,1,0.45518670001183636,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
88,0.5,8.0,98.86759869998787,,98.8519316999882,98.86759869998787,99.35118040000089,99.35118040000089,99.35118040000089,99.650026599993,99.70191820000764,right,8.0,1,1,0.34044649999123067,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
89,0.5,8.0,99.71753799999715,,99.7021676999866,99.71753799999715,100.20105090001016,100.20105090001016,100.20105090001016,100.50062350000371,100.5011727999954,left,-8.0,0,0,0.29604139999719337,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
90,0.5,8.5,100.51782310000272,,100.50143989999196,100.51782310000272,101.00108859999455,101.00108859999455,101.00108859999455,101.30096580000827,101.50163760001305,right,8.5,1,1,0.49236209999071434,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
91,0.5,8.5,101.51782310000272,,101.50190390000353,101.51782310000272,102.0007127999852,102.0007127999852,102.0007127999852,102.30036799999652,102.3340884000063,right,8.5,1,1,0.31800110000767745,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
92,0.5,8.5,102.34941639998578,,102.33425730001181,102.34941639998578,102.83413020000444,102.83413020000444,102.83413020000444,103.13453059998574,103.30143650001264,left,-8.5,1,1,0.46083460000227205,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
93,0.5,8.0,103.31744720001006,,103.3017031000054,103.31744720001006,103.80147609999403,103.80147609999403,103.80147609999403,104.10070099998848,104.20242429999053,right,8.0,1,1,0.39963430000352673,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
94,0.5,8.0,104.21758369999588,,104.20268519999809,104.21758369999588,104.71748809999553,104.71748809999553,104.71748809999553,105.01758559999871,105.16813780000666,right,8.0,1,1,0.43934789998456836,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
95,0.5,8.0,105.18387479998637,,105.16838230000576,105.18387479998637,105.68400859998656,105.68400859998656,105.68400859998656,105.98413200001232,106.08447810000507,right,8.0,1,1,0.39376459998311475,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
96,0.5,7.5,106.10069130000193,,106.08474630001001,106.10069130000193,106.58420350000961,106.58420350000961,106.58420350000961,106.8825754999998,107.6344228000089,left,-7.5,1,1,1.0409764999931213,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
97,0.5,7.5,107.64956499999971,,107.6345519000024,107.64956499999971,108.13396949999151,108.13396949999151,108.13396949999151,108.43378689998644,108.63432089998969,left,-7.5,1,1,0.48728939998545684,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
98,0.5,7.5,108.65085730000283,,108.63457110000309,108.65085730000283,109.13389599998482,109.13389599998482,109.13389599998482,109.43404140000348,109.7341630999872,left,-7.5,1,1,0.597413499985123,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
99,0.5,7.0,109.75053930000286,,109.73439500000677,109.75053930000286,110.23393909999868,110.23393909999868,110.23393909999868,110.53401709999889,110.80111579998629,right,7.0,1,1,0.5537742000014987,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
,,,,,,,,,,,,,,,,,110.80128019998665,110.81637670000782,112.81750030000694,112.80110609999974,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
