stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
11,0.5,11.0,22.122339399997145,,22.106355500000063,22.122339399997145,22.60582379999687,22.60582379999687,22.60582379999687,22.905653499998152,23.17204619999393,right,11.0,1,1,0.5512364000023808,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
12,0.5,11.0,23.188237399997888,,23.172268800000893,23.188237399997888,23.67244490000303,23.67244490000303,23.67244490000303,23.972294200008037,23.956222899985733,right,11.0,0,0,0.2753292999987025,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
13,0.5,11.5,23.972294200008037,,23.95644069998525,23.972294200008037,24.45577269999194,24.45577269999194,24.45577269999194,24.755672200000845,24.8394760999945,right,11.5,0,0,0.37838599999668077,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
14,0.5,12.0,24.85570650000591,,24.839726400008658,24.85570650000591,25.33888090000255,25.33888090000255,25.33888090000255,25.63927089999197,25.855946499999845,right,12.0,1,1,0.5109457000216935,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
15,0.5,12.0,25.87175640001078,,25.856192600011127,25.87175640001078,26.356032699986827,26.356032699986827,26.356032699986827,26.65516560000833,26.87149719998706,right,12.0,1,1,0.509264099993743,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
16,0.5,12.0,26.887682000000495,,26.871613499999512,26.887682000000495,27.371959200012498,27.371959200012498,27.371959200012498,27.67025269998703,27.85592520001228,left,-12.0,1,1,0.47525499999755993,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
17,0.5,11.5,27.87185729999328,,27.856187900004443,27.87185729999328,28.35561400000006,28.35561400000006,28.35561400000006,28.6715045000019,28.741497100010747,right,11.5,1,1,0.38175040000351146,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
18,0.5,11.5,28.755746999988332,,28.74174110000604,28.755746999988332,29.255529299989576,29.255529299989576,29.255529299989576,29.55521590000717,29.689016999996966,left,-11.5,1,1,0.42816149999271147,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
19,0.5,11.5,29.705315600003814,,29.68926189999911,29.705315600003814,30.188646900001913,30.188646900001913,30.188646900001913,30.488496500009205,30.606471700011753,right,11.5,1,1,0.41056369998841546,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
20,0.5,11.0,30.622073300008196,,30.606718900002306,30.622073300008196,31.12172140000621,31.12172140000621,31.12172140000621,31.422973600012483,31.57242640000186,right,11.0,1,1,0.4440926999959629,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
21,0.5,11.0,31.58855049998965,,31.57267339999089,31.58855049998965,32.07190179999452,32.07190179999452,32.07190179999452,32.37137089998578,32.38807570000063,left,-11.0,1,1,0.3136944000143558,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
